hts_code,material,article_type,chapter_99_claim,chapter_99_disclaim,duty_rate
7406.10.00,copper,primary,9903.78.01,9903.78.02,0.5
7409.19.90,copper,primary,9903.78.01,9903.78.02,0.5
7413.00.10,copper,primary,9903.78.01,9903.78.02,0.5
7406.20.00,copper,primary,9903.78.01,9903.78.02,0.5
7409.21.00,copper,primary,9903.78.01,9903.78.02,0.5
7413.00.50,copper,primary,9903.78.01,9903.78.02,0.5
7407.10.15,copper,primary,9903.78.01,9903.78.02,0.5
7409.29.00,copper,primary,9903.78.01,9903.78.02,0.5
7413.00.90,copper,primary,9903.78.01,9903.78.02,0.5
7407.10.30,copper,primary,9903.78.01,9903.78.02,0.5
7409.31.10,copper,primary,9903.78.01,9903.78.02,0.5
7415.10.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.10.50,copper,primary,9903.78.01,9903.78.02,0.5
7409.31.50,copper,primary,9903.78.01,9903.78.02,0.5
7415.21.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.21.15,copper,primary,9903.78.01,9903.78.02,0.5
7409.31.90,copper,primary,9903.78.01,9903.78.02,0.5
7415.29.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.21.30,copper,primary,9903.78.01,9903.78.02,0.5
7409.39.10,copper,primary,9903.78.01,9903.78.02,0.5
7415.33.05,copper,primary,9903.78.01,9903.78.02,0.5
7407.21.50,copper,primary,9903.78.01,9903.78.02,0.5
7409.39.50,copper,primary,9903.78.01,9903.78.02,0.5
7415.33.10,copper,primary,9903.78.01,9903.78.02,0.5
7407.21.70,copper,primary,9903.78.01,9903.78.02,0.5
7409.39.90,copper,primary,9903.78.01,9903.78.02,0.5
7415.33.80,copper,primary,9903.78.01,9903.78.02,0.5
7407.21.90,copper,primary,9903.78.01,9903.78.02,0.5
7409.40.00,copper,primary,9903.78.01,9903.78.02,0.5
7415.39.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.29.16,copper,primary,9903.78.01,9903.78.02,0.5
7409.90.10,copper,primary,9903.78.01,9903.78.02,0.5
7418.10.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.29.34,copper,primary,9903.78.01,9903.78.02,0.5
7409.90.50,copper,primary,9903.78.01,9903.78.02,0.5
7418.20.10,copper,primary,9903.78.01,9903.78.02,0.5
7407.29.38,copper,primary,9903.78.01,9903.78.02,0.5
7409.90.90,copper,primary,9903.78.01,9903.78.02,0.5
7418.20.50,copper,primary,9903.78.01,9903.78.02,0.5
7407.29.40,copper,primary,9903.78.01,9903.78.02,0.5
7410.11.00,copper,primary,9903.78.01,9903.78.02,0.5
7419.20.00,copper,primary,9903.78.01,9903.78.02,0.5
7407.29.50,copper,primary,9903.78.01,9903.78.02,0.5
7410.12.00,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.03,copper,primary,9903.78.01,9903.78.02,0.5
7408.11.30,copper,primary,9903.78.01,9903.78.02,0.5
7410.21.30,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.06,copper,primary,9903.78.01,9903.78.02,0.5
7408.11.60,copper,primary,9903.78.01,9903.78.02,0.5
7410.21.60,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.09,copper,primary,9903.78.01,9903.78.02,0.5
7408.19.00,copper,primary,9903.78.01,9903.78.02,0.5
7410.22.00,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.15,copper,primary,9903.78.01,9903.78.02,0.5
7408.21.00,copper,primary,9903.78.01,9903.78.02,0.5
7411.10.10,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.16,copper,primary,9903.78.01,9903.78.02,0.5
7408.22.10,copper,primary,9903.78.01,9903.78.02,0.5
7411.10.50,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.17,copper,primary,9903.78.01,9903.78.02,0.5
7408.22.50,copper,primary,9903.78.01,9903.78.02,0.5
7411.21.10,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.30,copper,primary,9903.78.01,9903.78.02,0.5
7408.29.10,copper,primary,9903.78.01,9903.78.02,0.5
7411.21.50,copper,primary,9903.78.01,9903.78.02,0.5
7419.80.50,copper,primary,9903.78.01,9903.78.02,0.5
7408.29.50,copper,primary,9903.78.01,9903.78.02,0.5
7411.22.00,copper,primary,9903.78.01,9903.78.02,0.5
8544.42.10,copper,primary,9903.78.01,9903.78.02,0.5
7409.11.10,copper,primary,9903.78.01,9903.78.02,0.5
7411.29.10,copper,primary,9903.78.01,9903.78.02,0.5
8544.42.20,copper,primary,9903.78.01,9903.78.02,0.5
7409.11.50,copper,primary,9903.78.01,9903.78.02,0.5
7411.29.50,copper,primary,9903.78.01,9903.78.02,0.5
8544.42.90,copper,primary,9903.78.01,9903.78.02,0.5
7409.19.10,copper,primary,9903.78.01,9903.78.02,0.5
7412.10.00,copper,primary,9903.78.01,9903.78.02,0.5
8544.49.10,copper,primary,9903.78.01,9903.78.02,0.5
7409.19.50,copper,primary,9903.78.01,9903.78.02,0.5
7412.20.00,copper,primary,9903.78.01,9903.78.02,0.5
7216.61.00,steel,primary,9903.80.01,9903.80.02,0.5
7216.69.00,steel,primary,9903.80.01,9903.80.02,0.5
7216.91.00,steel,primary,9903.80.01,9903.80.02,0.5
7301.10.00,steel,derivative,9903.81.90,9903.80.02,0.5
7302.40.00,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.30,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.5503,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.5505,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.5507,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.5560,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.5580,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.6560,steel,derivative,9903.81.89,9903.80.02,0.5
7317.00.55,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.65,steel,derivative,9903.81.90,9903.80.02,0.5
8708.10.30,steel,content,9903.81.91,9903.80.02,0.5
8708.29.21,steel,content,9903.81.91,9903.80.02,0.5
7301.20.10,steel,derivative,9903.81.90,9903.80.02,0.5
7301.20.50,steel,derivative,9903.81.90,9903.80.02,0.5
7302.30.00,steel,derivative,9903.81.90,9903.80.02,0.5
7307.21.10,steel,derivative,9903.81.90,9903.80.02,0.5
7307.21.50,steel,derivative,9903.81.90,9903.80.02,0.5
7307.22.10,steel,derivative,9903.81.90,9903.80.02,0.5
7307.22.50,steel,derivative,9903.81.90,9903.80.02,0.5
7307.23.00,steel,derivative,9903.81.90,9903.80.02,0.5
7307.29.00,steel,derivative,9903.81.90,9903.80.02,0.5
7307.91.10,steel,derivative,9903.81.90,9903.80.02,0.5
7307.91.30,steel,derivative,9903.81.90,9903.80.02,0.5
7307.91.50,steel,derivative,9903.81.90,9903.80.02,0.5
7307.92.30,steel,derivative,9903.81.90,9903.80.02,0.5
7307.92.90,steel,derivative,9903.81.90,9903.80.02,0.5
7307.93.30,steel,derivative,9903.81.90,9903.80.02,0.5
7307.93.60,steel,derivative,9903.81.90,9903.80.02,0.5
7307.93.90,steel,derivative,9903.81.90,9903.80.02,0.5
7307.99.10,steel,derivative,9903.81.90,9903.80.02,0.5
7307.99.30,steel,derivative,9903.81.90,9903.80.02,0.5
7307.99.50,steel,derivative,9903.81.90,9903.80.02,0.5
7308.10.00,steel,derivative,9903.81.90,9903.80.02,0.5
7308.20.00,steel,derivative,9903.81.90,9903.80.02,0.5
7308.30.10,steel,derivative,9903.81.90,9903.80.02,0.5
7308.30.50,steel,derivative,9903.81.90,9903.80.02,0.5
7308.40.00,steel,derivative,9903.81.90,9903.80.02,0.5
7308.90.30,steel,derivative,9903.81.90,9903.80.02,0.5
7308.90.60,steel,derivative,9903.81.90,9903.80.02,0.5
7308.90.70,steel,derivative,9903.81.90,9903.80.02,0.5
7308.90.95,steel,derivative,9903.81.90,9903.80.02,0.5
7309.00.00,steel,derivative,9903.81.90,9903.80.02,0.5
7310.10.00,steel,derivative,9903.81.90,9903.80.02,0.5
7310.21.00,steel,derivative,9903.81.90,9903.80.02,0.5
7310.29.00,steel,derivative,9903.81.90,9903.80.02,0.5
7311.00.00,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.05,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.10,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.20,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.30,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.50,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.60,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.70,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.80,steel,derivative,9903.81.90,9903.80.02,0.5
7312.10.90,steel,derivative,9903.81.90,9903.80.02,0.5
7312.90.00,steel,derivative,9903.81.90,9903.80.02,0.5
7313.00.00,steel,derivative,9903.81.90,9903.80.02,0.5
7314.12.10,steel,derivative,9903.81.90,9903.80.02,0.5
7314.12.20,steel,derivative,9903.81.90,9903.80.02,0.5
7314.12.30,steel,derivative,9903.81.90,9903.80.02,0.5
7314.12.60,steel,derivative,9903.81.90,9903.80.02,0.5
7314.12.90,steel,derivative,9903.81.90,9903.80.02,0.5
7314.14.10,steel,derivative,9903.81.90,9903.80.02,0.5
7314.14.20,steel,derivative,9903.81.90,9903.80.02,0.5
7314.14.30,steel,derivative,9903.81.90,9903.80.02,0.5
7314.14.60,steel,derivative,9903.81.90,9903.80.02,0.5
7314.14.90,steel,derivative,9903.81.90,9903.80.02,0.5
7314.19.01,steel,derivative,9903.81.90,9903.80.02,0.5
7314.20.00,steel,derivative,9903.81.90,9903.80.02,0.5
7314.31.10,steel,derivative,9903.81.90,9903.80.02,0.5
7314.31.50,steel,derivative,9903.81.90,9903.80.02,0.5
7314.39.00,steel,derivative,9903.81.90,9903.80.02,0.5
7314.41.00,steel,derivative,9903.81.90,9903.80.02,0.5
7314.42.00,steel,derivative,9903.81.90,9903.80.02,0.5
7314.49.30,steel,derivative,9903.81.90,9903.80.02,0.5
7314.49.60,steel,derivative,9903.81.90,9903.80.02,0.5
7314.50.00,steel,derivative,9903.81.90,9903.80.02,0.5
7315.11.00,steel,derivative,9903.81.90,9903.80.02,0.5
7315.12.00,steel,derivative,9903.81.90,9903.80.02,0.5
7315.19.00,steel,derivative,9903.81.90,9903.80.02,0.5
7315.20.10,steel,derivative,9903.81.90,9903.80.02,0.5
7315.20.50,steel,derivative,9903.81.90,9903.80.02,0.5
7315.81.00,steel,derivative,9903.81.90,9903.80.02,0.5
7315.82.10,steel,derivative,9903.81.90,9903.80.02,0.5
7315.82.30,steel,derivative,9903.81.90,9903.80.02,0.5
7315.82.50,steel,derivative,9903.81.90,9903.80.02,0.5
7315.82.70,steel,derivative,9903.81.90,9903.80.02,0.5
7315.89.10,steel,derivative,9903.81.90,9903.80.02,0.5
7315.89.30,steel,derivative,9903.81.90,9903.80.02,0.5
7315.89.50,steel,derivative,9903.81.90,9903.80.02,0.5
7315.90.00,steel,derivative,9903.81.90,9903.80.02,0.5
7316.00.00,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.10,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.20,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.75,steel,derivative,9903.81.90,9903.80.02,0.5
7318.11.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.12.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.13.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.14.10,steel,derivative,9903.81.90,9903.80.02,0.5
7318.14.50,steel,derivative,9903.81.90,9903.80.02,0.5
7318.15.20,steel,derivative,9903.81.90,9903.80.02,0.5
7318.15.40,steel,derivative,9903.81.90,9903.80.02,0.5
7318.15.50,steel,derivative,9903.81.90,9903.80.02,0.5
7318.15.60,steel,derivative,9903.81.90,9903.80.02,0.5
7318.15.80,steel,derivative,9903.81.90,9903.80.02,0.5
7318.16.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.19.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.21.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.22.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.23.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.24.00,steel,derivative,9903.81.90,9903.80.02,0.5
7318.29.00,steel,derivative,9903.81.90,9903.80.02,0.5
7319.40.20,steel,derivative,9903.81.90,9903.80.02,0.5
7319.40.30,steel,derivative,9903.81.90,9903.80.02,0.5
7319.40.50,steel,derivative,9903.81.90,9903.80.02,0.5
7319.90.10,steel,derivative,9903.81.90,9903.80.02,0.5
7319.90.90,steel,derivative,9903.81.90,9903.80.02,0.5
7320.10.30,steel,derivative,9903.81.90,9903.80.02,0.5
7320.10.60,steel,derivative,9903.81.90,9903.80.02,0.5
7320.10.90,steel,derivative,9903.81.90,9903.80.02,0.5
7320.20.10,steel,derivative,9903.81.90,9903.80.02,0.5
7320.20.50,steel,derivative,9903.81.90,9903.80.02,0.5
7320.90.10,steel,derivative,9903.81.90,9903.80.02,0.5
7320.90.50,steel,derivative,9903.81.90,9903.80.02,0.5
7321.11.10,steel,derivative,9903.81.90,9903.80.02,0.5
7321.11.30,steel,derivative,9903.81.90,9903.80.02,0.5
7321.11.60,steel,derivative,9903.81.90,9903.80.02,0.5
7321.12.00,steel,derivative,9903.81.90,9903.80.02,0.5
7321.19.00,steel,derivative,9903.81.90,9903.80.02,0.5
7321.81.10,steel,derivative,9903.81.90,9903.80.02,0.5
7321.81.50,steel,derivative,9903.81.90,9903.80.02,0.5
7321.82.10,steel,derivative,9903.81.90,9903.80.02,0.5
7321.82.50,steel,derivative,9903.81.90,9903.80.02,0.5
7321.89.00,steel,derivative,9903.81.90,9903.80.02,0.5
7321.90.10,steel,derivative,9903.81.90,9903.80.02,0.5
7321.90.20,steel,derivative,9903.81.90,9903.80.02,0.5
7321.90.40,steel,derivative,9903.81.90,9903.80.02,0.5
7321.90.50,steel,derivative,9903.81.90,9903.80.02,0.5
7321.90.60,steel,derivative,9903.81.90,9903.80.02,0.5
7322.19.00,steel,derivative,9903.81.90,9903.80.02,0.5
7322.90.00,steel,derivative,9903.81.90,9903.80.02,0.5
7323.10.00,steel,derivative,9903.81.90,9903.80.02,0.5
7323.93.00,steel,derivative,9903.81.90,9903.80.02,0.5
7323.94.00,steel,derivative,9903.81.90,9903.80.02,0.5
7323.99.10,steel,derivative,9903.81.90,9903.80.02,0.5
7323.99.30,steel,derivative,9903.81.90,9903.80.02,0.5
7323.99.50,steel,derivative,9903.81.90,9903.80.02,0.5
7323.99.70,steel,derivative,9903.81.90,9903.80.02,0.5
7323.99.90,steel,derivative,9903.81.90,9903.80.02,0.5
7324.10.00,steel,derivative,9903.81.90,9903.80.02,0.5
7324.29.00,steel,derivative,9903.81.90,9903.80.02,0.5
7324.90.00,steel,derivative,9903.81.90,9903.80.02,0.5
7325.91.00,steel,derivative,9903.81.90,9903.80.02,0.5
7325.99.10,steel,derivative,9903.81.90,9903.80.02,0.5
7325.99.50,steel,derivative,9903.81.90,9903.80.02,0.5
7326.11.00,steel,derivative,9903.81.90,9903.80.02,0.5
7326.19.00,steel,derivative,9903.81.90,9903.80.02,0.5
7326.20.00,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.10,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.25,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.35,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.45,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.60,steel,derivative,9903.81.90,9903.80.02,0.5
7326.90.86,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5501,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5502,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5508,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5511,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5518,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5519,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5520,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5530,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5540,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5550,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5570,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.5590,steel,derivative,9903.81.90,9903.80.02,0.5
7317.00.6530,steel,derivative,9903.81.90,9903.80.02,0.5
7216.91.0010,steel,primary,9903.80.01,9903.80.02,0.5
7302.90.9000,steel,derivative,9903.81.90,9903.80.02,0.5
7307.19.30,steel,derivative,9903.81.90,9903.80.02,0.5
7307.19.90,steel,derivative,9903.81.90,9903.80.02,0.5
8431.31.00,steel,content,9903.81.91,9903.80.02,0.5
8431.42.00,steel,content,9903.81.91,9903.80.02,0.5
8431.49.10,steel,content,9903.81.91,9903.80.02,0.5
8431.49.90,steel,content,9903.81.91,9903.80.02,0.5
8432.10.00,steel,content,9903.81.91,9903.80.02,0.5
8432.90.00,steel,content,9903.81.91,9903.80.02,0.5
8547.90.00,steel,content,9903.81.91,9903.80.02,0.5
9403.20.00,steel,content,9903.81.91,9903.80.02,0.5
9405.99.20,steel,content,9903.81.91,9903.80.02,0.5
9405.99.40,steel,content,9903.81.91,9903.80.02,0.5
9406.20.00,steel,content,9903.81.91,9903.80.02,0.5
9406.90.01,steel,content,9903.81.91,9903.80.02,0.5
8418.10.00,steel,content,9903.81.91,9903.80.02,0.5
8418.30.00,steel,content,9903.81.91,9903.80.02,0.5
8418.40.00,steel,content,9903.81.91,9903.80.02,0.5
8422.11.00,steel,content,9903.81.91,9903.80.02,0.5
8450.11.00,steel,content,9903.81.91,9903.80.02,0.5
8450.20.00,steel,content,9903.81.91,9903.80.02,0.5
8451.21.00,steel,content,9903.81.91,9903.80.02,0.5
8451.29.00,steel,content,9903.81.91,9903.80.02,0.5
8509.80.20,steel,content,9903.81.91,9903.80.02,0.5
8516.60.40,steel,content,9903.81.91,9903.80.02,0.5
9403.99.9020,steel,content,9903.81.91,9903.80.02,0.5
0402.99.68,steel,content,9903.81.91,9903.80.02,0.5
8211.91.20,steel,content,9903.81.91,9903.80.02,0.5
8429.11.00,steel,content,9903.81.91,9903.80.02,0.5
8504.23.00,steel,content,9903.81.91,9903.80.02,0.5
0402.99.70,steel,content,9903.81.91,9903.80.02,0.5
8211.91.25,steel,content,9903.81.91,9903.80.02,0.5
8429.19.00,steel,content,9903.81.91,9903.80.02,0.5
8504.33.00,steel,content,9903.81.91,9903.80.02,0.5
0402.99.90,steel,content,9903.81.91,9903.80.02,0.5
8211.91.30,steel,content,9903.81.91,9903.80.02,0.5
8429.20.00,steel,content,9903.81.91,9903.80.02,0.5
8504.90.9634,steel,content,9903.81.91,9903.80.02,0.5
2106.90.9998,steel,content,9903.81.91,9903.80.02,0.5
8211.91.40,steel,content,9903.81.91,9903.80.02,0.5
8429.30.00,steel,content,9903.81.91,9903.80.02,0.5
8504.90.9638,steel,content,9903.81.91,9903.80.02,0.5
2710.19.3050,steel,content,9903.81.91,9903.80.02,0.5
8211.91.50,steel,content,9903.81.91,9903.80.02,0.5
8429.40.00,steel,content,9903.81.91,9903.80.02,0.5
8504.90.9642,steel,content,9903.81.91,9903.80.02,0.5
2711.12.0020,steel,content,9903.81.91,9903.80.02,0.5
